scenario,seed,lambda,total_requests,completed_requests,canceled_requests,completion_rate,cancellation_rate,avg_matching_delay,avg_passenger_wait,avg_trip_time,throughput,utilization
low,1.0,0.5,49.0,41.0,3.0,0.8367346938775511,0.061224489795918366,1.3902439024390243,4.637436760735497,7.574316372419444,0.41,0.2313409392296763
low,2.0,0.5,37.0,30.0,0.0,0.8108108108108109,0.0,0.0,3.396775513290966,6.789614246410919,0.3,0.16829584639552825
low,3.0,0.5,49.0,45.0,0.0,0.9183673469387755,0.0,1.7333333333333334,5.191702177091055,6.978426386244357,0.45,0.24632789267504673
medium,1.0,1.0,97.0,72.0,5.0,0.7422680412371134,0.05154639175257732,1.3472222222222223,4.943015798532762,7.2560054966164955,0.72,0.43566476662537335
medium,2.0,1.0,100.0,88.0,0.0,0.88,0.0,0.2840909090909091,4.338429435322347,6.485275241871767,0.88,0.492243005796541
medium,3.0,1.0,102.0,82.0,7.0,0.803921568627451,0.06862745098039216,1.0,4.974118948818961,6.579829922210702,0.82,0.47371190371221616
high,1.0,2.0,203.0,128.0,19.0,0.6305418719211823,0.09359605911330049,7.765625,13.654770934343267,6.746623527512904,1.28,0.888189245558795
high,2.0,2.0,207.0,113.0,36.0,0.5458937198067633,0.17391304347826086,7.070796460176991,12.229303932906106,6.458886622732432,1.13,0.7168827663935773
high,3.0,2.0,192.0,125.0,20.0,0.6510416666666666,0.10416666666666667,7.92,14.214467454072436,6.185958686154923,1.25,0.8450266337642101
